workout_5605,workout_5606,workout_5607
496.0,24.0,250.0
512.0,25.0,250.0
682.0,31.0,255.0
515.0,21.0,275.0
443.0,27.0,225.0
444.0,27.0,225.0
538.0,30.0,235.0
520.0,26.0,247.0
759.0,28.0,295.0
556.0,26.0,255.0
421.0,25.0,231.0
681.0,29.0,265.0
628.0,31.0,245.0
550.0,24.0,265.0
438.0,24.0,235.0
685.0,30.0,261.0
519.0,26.0,245.0
513.0,27.0,242.5
372.0,23.0,227.0
418.0,21.0,245.0
543.0,25.0,255.0
522.0,24.0,255.0
720.0,25.0,306.0
516.0,28.0,235.0
450.0,26.0,230.0
468.0,23.0,245.0
490.0,26.0,237.0
494.0,29.0,225.0
410.0,24.0,230.0
514.0,24.0,253.0
765.0,38.0,255.0
519.0,21.0,270.0
491.0,24.0,245.0
540.0,29.0,237.0
575.0,26.0,255.0
529.0,24.0,255.0
628.0,27.0,261.0
636.0,25.0,275.0
494.0,22.0,255.0
720.0,28.0,275.0
479.0,27.0,230.0
451.0,22.0,245.0
453.0,22.0,245.0
475.0,24.0,241.0
515.0,20.0,275.0
535.0,26.0,245.0
529.0,21.0,270.0
581.0,25.0,257.0
615.0,26.0,257.0
518.0,27.0,235.0
496.0,23.0,245.0
556.0,24.0,255.0
561.0,28.0,240.0
806.0,26.0,307.0
497.0,27.0,225.0
473.0,24.0,235.0
655.0,26.0,265.0
587.0,25.0,255.0
489.0,21.0,251.0
864.0,30.0,275.0
534.0,25.0,245.0
630.0,25.0,265.0
479.0,22.0,245.0
549.0,27.0,241.0
531.0,27.0,235.0
567.0,23.0,260.0
439.0,20.0,245.0
498.0,25.0,235.0
510.0,23.0,245.0
518.0,26.0,235.0
511.0,23.0,245.0
440.0,22.0,235.0
467.0,19.0,255.0
526.0,24.0,245.0
565.0,22.0,265.0
541.0,21.0,265.0
529.0,24.0,245.0
580.0,21.0,275.0
469.0,23.0,235.0
550.0,22.0,257.0
554.0,24.0,250.0
427.0,23.0,225.0
488.0,26.0,225.0
427.0,22.0,230.0
532.0,24.0,245.0
481.0,25.0,230.0
587.0,21.0,275.0
449.0,24.0,225.0
518.0,23.0,245.0
640.0,28.0,245.0
536.0,24.0,245.0
614.0,25.0,255.0
849.0,27.0,285.0
550.0,21.0,265.0
498.0,22.0,245.0
560.0,25.0,245.0
720.0,27.0,265.0
592.0,25.0,250.0
625.0,22.0,275.0
655.0,26.0,255.0
538.0,26.0,235.0
498.0,23.0,237.0
347.0,22.0,215.0
442.0,23.0,225.0
720.0,35.0,235.0
661.0,26.0,255.0
543.0,25.0,244.0
