Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
LAUREN BOGAN,716.0,11.0,130.0,195.0,0,1928.0,117.0
AMANDA  KINDLER,836.0,18.0,145.0,145.0,95.0,1972.0,0
TRISTAN FRIEBUS,491.0,13.0,150.0,140.0,276.0,2024.0,0
BRITTNY WATSON,0,14.0,150.0,168.0,93.0,1854.0,71.0
MEGAN INFANTINO,596.0,8.0,125.0,123.0,0,1824.0,68.0
LOUANE SILVA,893.0,7.0,130.0,0,189.0,1966.0,91.0
ALEJANDRA  MARTINEZ,697.0,10.0,135.0,127.0,0,1906.0,64.0
STEPHANIE WOODSON,388.0,29.0,95.0,220.0,240.0,1753.0,0
DALIA QUEVEDO,935.0,8.0,130.0,114.0,150.0,1926.0,0
JEN KWAS,720.0,0.0,105.0,112.0,110.0,2023.0,0
KARLI SHUR,649.0,27.0,95.0,119.0,220.0,1546.0,0
PRISMA BEAUDOIN,900.0,7.0,135.0,99.0,0,1562.0,42.0
JENNIFER  MORGAN,477.0,24.0,90.0,123.0,151.0,1945.0,0
LAURA ROBERTSON,317.0,35.0,105.0,160.0,317.0,1634.0,0
COURTNEY VAN DUSEN,602.0,29.0,140.0,116.0,251.0,1804.0,0
JENNIFER  GENOVESE,457.0,24.0,110.0,156.0,210.0,1767.0,0
THERESE FESSENDEN,610.0,27.0,125.0,114.0,185.0,1728.0,0
CHRISTINE SUMOWSKI,348.0,27.0,95.0,120.0,120.0,1700.0,0
JULIE STOEGERER,697.0,14.0,70.0,0,180.0,1499.0,24.0
RAQUEL ECHAVARRIA,590.0,19.0,95.0,64.0,130.0,1632.0,0
SAMANTHA PRICE,659.0,34.0,175.0,181.0,334.0,0,0
LWANA  JULIAO ,365.0,32.0,115.0,134.0,231.0,0,0
CORI BRUCKNER,530.0,27.0,115.0,0,0,1887.0,117.0
CITLALY  DAVILA ,720.0,17.0,155.0,0,0,1928.0,142.0
CAROLINE  JENSEN,702.0,16.0,155.0,166.0,242.0,0,0
NICOLE HELFENBERGER,665.0,22.0,165.0,127.0,100.0,0,0
SOLITA BERGELT,583.0,33.0,95.0,94.0,152.0,0,0
JILL WEIDA,565.0,0,0,91.0,262.0,1813.0,19.0
LAURA MCGUIRE,340.0,19.0,155.0,167.0,90.0,0,0
SANDRA PAONESSA,569.0,29.0,157.0,119.0,167.0,0,0
MOLLIE KEENER,827.0,20.0,141.0,188.0,290.0,0,0
EMILY FAXON,300.0,19.0,160.0,155.0,245.0,0,0
JESSICA PHILLIPS,780.0,14.0,145.0,166.0,150.0,0,0
MARY-TYLER WAHL,893.0,11.0,165.0,120.0,227.0,0,0
MARISA URRUTIA,720.0,13.0,130.0,0,200.0,1699.0,0
ASHLEY WICKLUND,720.0,5.0,120.0,0,0,1778.0,71.0
REBECCA ALWINE,598.0,0,0,117.0,250.0,1906.0,72.0
LINDSAY KANE ,998.0,12.0,135.0,153.0,150.0,0,0
CRYSTAL  ROBINSON ,361.0,14.0,135.0,128.0,246.0,0,0
ZURINA WILLIAMS,850.0,30.0,135.0,121.0,136.0,0,0
CASSIE SABOL,859.0,7.0,135.0,55.0,0,1816.0,0
CARRIE ANN WELSH,314.0,9.0,140.0,163.0,294.0,0,0
BIANCA PUIG,983.0,10.0,145.0,137.0,201.0,0,0
KARLIE KINLEY ,400.0,14.0,140.0,129.0,170.0,0,0
RACHELLE  XA,720.0,4.0,120.0,120.0,170.0,0,0
WENDI SOX,527.0,7.0,135.0,0,0,1577.0,74.0
ELIZABETH WHITMYRE,637.0,41.0,135.0,0,0,1789.0,188.0
BRITTANY CHAMPAGNE,407.0,13.0,75.0,114.0,150.0,0,0
RAQUEL TORRES,433.0,1.0,115.0,0,0,1780.0,120.0
JADE MEDDERS,346.0,32.0,115.0,170.0,326.0,0,0
VIOLETA  CLINE,434.0,36.0,120.0,94.0,231.0,0,0
ERIN HOOPER,360.0,27.0,105.0,123.0,239.0,0,0
KRISTINA ARTIGAS,909.0,25.0,140.0,66.0,141.0,0,0
NIKKI STUMPF ,455.0,32.0,105.0,148.0,173.0,0,0
TERRA CROXDALE,472.0,22.0,110.0,147.0,235.0,0,0
KATHERINE ESTRADA,463.0,26.0,105.0,125.0,242.0,0,0
MANDY RENFRO,639.0,32.0,125.0,115.0,200.0,0,0
SYDNEY MILLIS,475.0,28.0,105.0,118.0,185.0,0,0
CYNTHIA ENG,668.0,24.0,111.0,156.0,180.0,0,0
CRISTIN WAITE,381.0,14.0,85.0,149.0,157.0,0,0
KATHERINE  VANDERWALL ,720.0,23.0,55.0,98.0,134.0,0,0
ANGELA MCCLOUD,651.0,22.0,112.5,117.0,164.0,0,0
SARAH SOHN ,0,16.0,135.0,170.0,338.0,0,0
KRISTI COUCH,622.0,15.0,95.0,92.0,0,0,0
JESSICA DIAZ,712.0,17.0,140.0,124.0,0,0,0
RHAIMARI GONZALEZ,720.0,9.0,125.0,0,217.0,0,0
BREANNA PELTON,807.0,12.0,130.0,189.0,0,0,0
LISA NG ,0,0,0,102.0,160.0,1758.0,22.0
ELIZABETH DOOLEY,0,0,0,93.0,125.0,1682.0,21.0
JULIE PASCAZIO,940.0,1.0,115.0,124.0,0,0,0
HEATHER BYRD,359.0,40.0,155.0,0,198.0,0,0
CHRISTIN ANDREWS ,455.0,35.0,125.0,184.0,0,0,0
REGINA HO,900.0,21.0,100.0,0,0,1656.0,0
JENNETTA  GEORGE,954.0,30.0,115.0,0,167.0,0,0
JENN AMARAL,582.0,22.0,135.0,145.0,0,0,0
LEE JARRATT,832.0,12.0,95.0,80.0,0,0,0
AYANA SABREE,698.0,25.0,175.0,0,0,0,0
IVETTE GOICOURIA,403.0,27.0,135.0,0,0,0,0
ARIEL  POWERS,454.0,27.0,115.0,0,0,0,0
NICOLE JOHNSON,367.0,20.0,145.0,0,0,0,0
LINDSAY VENZA,312.0,18.0,140.0,0,0,0,0
ALYSSA FONTENOT,400.0,17.0,145.0,0,0,0,0
CARLA CHOPEK ,748.0,24.0,110.0,0,0,0,0
NICHOLE  QUINTANA ,720.0,14.0,150.0,0,0,0,0
KIERSTEN CHAMBERS,404.0,13.0,145.0,0,0,0,0
DEVON MARLOW,435.0,13.0,145.0,0,0,0,0
SARAH PUPANEK,632.0,14.0,145.0,0,0,0,0
HANNA ESTEVEZ ,424.0,12.0,140.0,0,0,0,0
EMILY STEINMAN,719.0,31.0,120.0,0,0,0,0
PAIGE  KELLY,720.0,15.0,145.0,0,0,0,0
ANA  VECCHIO,601.0,17.0,107.0,0,0,0,0
KIRSTEN HAZLEWOOD,353.0,7.0,135.0,0,0,0,0
CALLIE TALLEY,389.0,4.0,125.0,0,0,0,0
LAURA CONKLIN ,741.0,0,0,127.0,170.0,0,0
ROMANA  BISCARINI,195.0,42.0,145.0,0,0,0,0
KRISTINA ROZELLE,423.0,36.0,135.0,0,0,0,0
BROOKE CLARK,298.0,34.0,117.0,0,0,0,0
ZUZANA JANCIKOVA,404.0,33.0,125.0,0,0,0,0
KIM DEAKINS,459.0,35.0,125.0,0,0,0,0
MONICA  ARMENGOL-PENA,431.0,31.0,120.0,0,0,0,0
KATHERINE MORALES,578.0,115.0,115.0,0,0,0,0
NICOLE SEGURA,517.0,31.0,125.0,0,0,0,0
JEN NAUGHTON,445.0,35.0,102.0,0,0,0,0
BERENICE  LOPEZ,453.0,20.0,130.0,0,0,0,0
TARYNN PESCUMA ,579.0,26.0,115.0,0,0,0,0
MIMI JAY,468.0,25.0,105.0,0,0,0,0
KEELY HUGHES,526.0,17.0,121.0,0,0,0,0
AMANDA PAINTER,781.0,15.0,85.0,0,0,0,0
KARLEE MASON,0,0,0,154.0,150.0,0,0
AMY ESPOSITO,0,23.0,110.0,0,0,0,0
JESSICA BARLAGE,0,23.0,105.0,0,0,0,0
ANNE HERRICK,0,16.0,90.0,0,0,0,0
ANGELICA ROMERO,0,10.0,75.0,0,0,0,0
BETH SULLIVAN,513.0,0,0,0,0,0,0
VALERIA GONZALEZ DOMINATO,546.0,0,0,0,0,0,0
ASHLEY STCLAIR,585.0,0,0,0,0,0,0
ALANA RICHARDSON,622.0,0,0,0,0,0,0
CHARLENE CLARK,822.0,0,0,0,0,0,0
