Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
KATIE  MURPHY,662.0,26.0,180.0,145.0,151.0,2034.0,94.0
LAURA SIEGLE,531.0,20.0,135.0,190.0,156.0,1999.0,213.0
MCKAY ZURN,618.0,24.0,165.0,163.0,150.0,1951.0,236.0
MELISSA  ZEGEER,654.0,24.0,175.0,165.0,150.0,2017.0,94.0
ANNIE  RUSSELL,586.0,22.0,155.0,182.0,219.0,1907.0,139.0
CAYLYN GILBERT,838.0,28.0,195.0,160.0,150.0,2007.0,164.0
HANNAH KULAGA,550.0,15.0,154.0,186.0,152.0,2018.0,230.0
BAILEY KOCH,639.0,22.0,150.0,188.0,154.0,2001.0,183.0
BECKY LOUGHRIDGE,690.0,32.0,185.0,152.0,159.0,1865.0,112.0
SYNDRA BAPTE,720.0,28.0,181.0,160.0,150.0,1926.0,189.0
SIERRA CAMERON,662.0,26.0,190.0,109.0,150.0,2026.0,186.0
CAROLINE  AVERY-BROWN ,758.0,28.0,175.0,157.0,153.0,2081.0,67.0
JACKIE YEDESKO,584.0,27.0,165.0,169.0,190.0,1816.0,114.0
MARISA HOM,656.0,24.0,165.0,161.0,190.0,1915.0,141.0
STEPHANIE DOYLE,759.0,24.0,160.0,190.0,150.0,2034.0,160.0
SHELBY KOOP,638.0,22.0,155.0,186.0,153.0,1943.0,160.0
ALICIA BARNES,634.0,20.0,175.0,161.0,150.0,2044.0,120.0
SAMANTHA  MAR ,720.0,21.0,172.0,199.0,154.0,1962.0,72.0
TORI CORKRAN,707.0,21.0,145.0,192.0,155.0,2030.0,140.0
TANYA CRUZ,566.0,21.0,172.0,167.0,150.0,1999.0,46.0
DANIELLE HAWKINS,664.0,22.0,157.0,180.0,187.0,1983.0,92.0
ALEXA SUCATO,760.0,27.0,185.0,162.0,169.0,1926.0,90.0
ASHLEE LINDSAY ,717.0,27.0,165.0,184.0,150.0,1885.0,164.0
MARISSA YIM,766.0,27.0,171.0,180.0,152.0,1946.0,116.0
RAE HATTEN,613.0,20.0,160.0,182.0,150.0,1938.0,211.0
KARA BONAMO,610.0,23.0,165.0,160.0,203.0,1806.0,188.0
KATELYN MAZUERA,600.0,20.0,145.0,181.0,153.0,1918.0,334.0
SHANTELL LEA  MAINS ,643.0,25.0,165.0,166.0,150.0,1963.0,136.0
BIATA GLIONNA,601.0,20.0,140.0,191.0,150.0,2014.0,186.0
LINDSAY MELANSON,612.0,21.0,155.0,182.0,154.0,1885.0,189.0
BRIANNA HARPER,778.0,24.0,165.0,177.0,154.0,1951.0,184.0
OLIVIA GRIMMER,614.0,20.0,145.0,185.0,150.0,2026.0,208.0
KAYLA AGUILILLA,677.0,24.0,195.0,131.0,151.0,2009.0,64.0
CHRISTINE VIGUE,534.0,18.0,155.0,182.0,150.0,1990.0,115.0
MARY  TEUNIS,621.0,22.0,165.0,164.0,220.0,1730.0,165.0
MARIA CAMILA CARTAGENA TEJADA,607.0,20.0,160.0,178.0,151.0,1902.0,164.0
LAUREN RANTALA,672.0,24.0,155.0,165.0,152.0,2060.0,64.0
BRITTANY BERRYMAN,653.0,22.0,165.0,169.0,154.0,1903.0,117.0
VICTORIA  VEST,707.0,18.0,155.0,184.0,150.0,2026.0,168.0
JEN DISHER,658.0,23.0,177.0,136.0,152.0,1924.0,136.0
BELIA RODRIGUEZ RIVERA,755.0,24.0,175.0,158.0,159.0,1895.0,164.0
NATASHA SMITH,639.0,19.0,151.0,156.0,157.0,2136.0,112.0
LUNABELLE  GIROUARD ,643.0,17.0,152.0,190.0,150.0,1967.0,188.0
MICHELLE BLANKENSHIP,698.0,27.0,185.0,146.0,150.0,1898.0,118.0
JAMIE  JENNUSA ,580.0,29.0,160.0,154.0,152.0,1776.0,117.0
GABRIELLA SIMEONE,716.0,25.0,190.0,148.0,154.0,1902.0,88.0
ARIANA PARKER,646.0,20.0,155.0,183.0,151.0,1964.0,113.0
JULIA NEAL,598.0,27.0,165.0,153.0,124.0,1911.0,138.0
ALI MARIE  SANTIA ,776.0,26.0,167.0,155.0,150.0,1922.0,209.0
RACHEL KRAVITZ,896.0,28.0,165.0,171.0,159.0,1890.0,140.0
LINDSEY DONNER,667.0,20.0,175.0,170.0,163.0,1872.0,72.0
JASMINE THEODOSIOU,724.0,24.0,152.0,175.0,151.0,1984.0,142.0
MARISA  PRINCE,612.0,21.0,157.2,158.0,198.0,1814.0,184.0
JAMI LEE,660.0,24.0,155.0,158.0,187.0,1724.0,236.0
ASHLEY MADDUX,752.0,22.0,175.0,154.0,150.0,2018.0,137.0
MEGAN  MCMAHON,638.0,16.0,140.0,186.0,141.0,2027.0,258.0
ANNA HOLDER,608.0,20.0,145.0,158.0,194.0,1910.0,151.0
DELILAH BALDING,775.0,26.0,170.0,153.0,150.0,2004.0,114.0
HANNAH BOYL,679.0,20.0,162.5,168.0,150.0,1908.0,166.0
JA-NA GRIGGS,644.0,19.0,160.0,163.0,204.0,1818.0,164.0
BRIELLE PRISK,739.0,22.0,155.0,184.0,150.0,1966.0,136.0
ZEMORA DAVIS,693.0,26.0,175.0,145.0,150.0,1899.0,92.0
CARISSA PAINTER,671.0,21.0,170.0,156.0,150.0,1916.0,115.0
TIARA TERRA,709.0,26.0,170.0,118.0,160.0,1858.0,160.0
JORY  SCHWEERS,713.0,25.0,160.0,163.0,120.0,2003.0,112.0
GINA MARTORANA,652.0,21.0,180.0,147.0,151.0,1774.0,166.0
JILL  MCMILLIN ,810.0,22.0,145.0,174.0,197.0,1984.0,134.0
GRACE LONG,706.0,22.0,155.0,160.0,150.0,2084.0,92.0
TIERRA DUNCAN,606.0,18.0,160.0,153.0,154.0,1941.0,117.0
MADDIE SISCO,715.0,18.0,137.0,224.0,345.0,2020.0,286.0
LINDSAY BURRY,848.0,29.0,190.0,103.0,95.0,2066.0,110.0
CASSIA ATENCE MAGOGA,538.0,18.0,148.5,152.0,156.0,1965.0,112.0
CRISTINA  VALENCIA ,651.0,19.0,151.0,183.0,155.0,1845.0,168.0
SEANNA SWAYNE,544.0,26.0,160.0,136.0,105.0,2053.0,38.0
CHRISTIANE GHORAYEB,693.0,20.0,157.0,171.0,150.0,1931.0,162.0
KATIE TOMA,523.0,20.0,157.0,164.0,150.0,1928.0,88.0
AMANDA BASALYGA,459.0,17.0,165.0,144.0,202.0,1696.0,119.0
LAUREN DEAN,753.0,19.0,155.0,154.0,154.0,1980.0,216.0
SARAH BOLTZ,682.0,19.0,145.0,198.0,116.0,2004.0,136.0
SHANNON  KELLER ,644.0,17.0,140.0,184.0,156.0,1931.0,140.0
MEGHAN O'BRIEN,885.0,24.0,179.0,144.0,91.0,2100.0,142.0
MALLORY WOLLFARTH,834.0,23.0,175.0,162.0,155.0,1839.0,139.0
KELSEY RIVERA,720.0,22.0,165.0,163.0,150.0,1937.0,96.0
JUSED MELIAN,708.0,20.0,150.0,169.0,150.0,1891.0,281.0
KIRSTEN LUNDER,720.0,18.0,175.0,147.0,150.0,2008.0,110.0
