Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
NATE  SCOLA,371.0,34.0,277.0,139.0,164.0,2427.0,187.0
AARON HERNANDEZ,350.0,34.0,285.0,125.0,197.0,2311.0,136.0
ERIK  FAY,372.0,33.0,285.0,147.0,180.0,2308.0,136.0
CRISTHIAN SANTIAGO,377.0,31.0,345.0,118.0,180.0,2312.0,119.0
GRAHAM WINCHESTER,382.0,34.0,307.0,124.0,183.0,2308.0,117.0
ZACHARY HALL,372.0,33.0,315.0,122.0,174.0,2333.0,116.0
MATT KEETER,350.0,32.0,277.0,124.0,179.0,2421.0,137.0
TOM WATSON,355.0,31.0,287.0,117.0,207.0,2305.0,214.0
HENRY ULLOA,372.0,34.0,335.0,115.0,178.0,2181.0,141.0
NATHAN CONTRERAS,374.0,33.0,325.0,124.0,178.0,2121.0,160.0
MATHEW MACDONALD,365.0,33.0,280.0,125.0,205.0,2302.0,161.0
JAMES H KIM,319.0,33.0,275.0,125.0,176.0,2267.0,162.0
ROBERT WYNNE,420.0,30.0,295.0,139.0,200.0,2365.0,161.0
DENIS CATANA,486.0,30.0,348.0,125.0,195.0,2323.0,163.0
STEVEN PACHAN,371.0,30.0,279.0,145.0,174.0,2404.0,154.0
SAM LONGBOTHAM,359.0,31.0,277.0,129.0,177.0,2398.0,141.0
NICHOLAS COWART,375.0,31.0,295.0,113.0,185.0,2410.0,163.0
JESSE TEIXEIRA,368.0,34.0,305.0,115.0,166.0,2324.0,163.0
ALEJANDRO ALATORRE,350.0,34.0,265.0,133.0,170.0,2417.0,96.0
DANE LARAWAY,367.0,34.0,265.0,135.0,166.0,2334.0,215.0
MITCHELL HEIN,377.0,32.0,286.0,126.0,173.0,2395.0,133.0
MEMO LUCHO,342.0,32.0,312.0,106.0,190.0,2244.0,93.0
GABRIEL ESPINOZA ,392.0,32.0,287.0,126.0,173.0,2353.0,160.0
ANDY GIRON,348.0,30.0,257.0,139.0,229.0,2231.0,184.0
MATT  DENTON,353.0,31.0,285.0,120.0,186.0,2353.0,112.0
BRYAN  SIMEONE ,377.0,34.0,300.0,122.0,168.0,2314.0,132.0
COY OZIAS,329.0,31.0,255.0,119.0,236.0,2243.0,166.0
MATIAS FRIZ,337.0,31.0,295.0,108.0,177.0,2318.0,140.0
DAVID FARISH,392.0,36.0,300.0,117.0,171.0,2215.0,184.0
SAM COLTHARP,358.0,30.0,270.0,144.0,215.0,2269.0,142.0
COLIN BOESCH,347.0,32.0,295.0,130.0,171.0,2286.0,88.0
YUYI ALDAÑO,480.0,30.0,325.0,122.0,175.0,2300.0,254.0
ALEX TOMASELLO,395.0,29.0,280.0,124.0,188.0,2363.0,208.0
EVERETTE HOLGUIN,362.0,32.0,305.0,117.0,167.0,2252.0,184.0
BENJAMIN HOLLAND,419.0,32.0,286.0,169.0,163.0,2374.0,96.0
TONY BROWN,388.0,30.0,310.0,117.0,180.0,2257.0,167.0
TREY VAUGHAN,433.0,32.0,275.0,134.0,182.0,2346.0,175.0
AJ SEIDLER,456.0,32.0,325.0,117.0,165.0,2304.0,203.0
BIFF STROGANOFF,545.0,31.0,315.0,125.0,178.0,2355.0,141.0
MADISON TOWNLEY,377.0,28.0,295.0,134.0,182.0,2275.0,150.0
ALEX CARRAVETTA,388.0,30.0,311.0,116.0,172.0,2350.0,119.0
WILL RAYNES,359.0,31.0,305.0,128.0,128.0,2331.0,95.0
SEAN MCCARTY,354.0,29.0,307.0,124.0,174.0,2217.0,134.0
ANDREW MCGOVERN,333.0,31.0,305.0,115.0,186.0,2183.0,63.0
MARIANO BILBAO MENENDEZ,395.0,35.0,287.0,95.0,212.0,2146.0,188.0
HUNTER WILLIAMS,383.0,30.0,307.0,105.0,199.0,2253.0,136.0
STEFAN DRESEVIC,371.0,31.0,275.0,122.0,179.0,2313.0,137.0
RYAN WALKER,411.0,29.0,257.0,144.0,182.0,2361.0,160.0
STETSON CARLILE,381.0,33.0,265.0,146.0,143.0,2504.0,72.0
JON PEARDON,399.0,31.0,320.0,101.0,165.0,2346.0,119.0
TUCKER CUMMINGS,523.0,30.0,290.0,154.0,160.0,2373.0,164.0
FERNANDO VILLAFAÑA,358.0,31.0,265.0,119.0,180.0,2340.0,113.0
TYLER LEITZA,373.0,28.0,265.0,138.0,171.0,2411.0,135.0
LEIFF  CLARKSON,336.0,29.0,265.0,132.0,169.0,2351.0,95.0
AUSTIN  GUNSAULS,376.0,31.0,258.0,128.0,174.0,2406.0,112.0
CHRISTIAN PREUTHUN,369.0,29.0,275.0,130.0,205.0,2287.0,96.0
TAYLOR  FOOS,414.0,31.0,300.0,125.0,167.0,2320.0,110.0
ANDREW FERRIS,624.0,27.0,297.0,132.0,197.0,2347.0,165.0
GAVIN GIBBONS,486.0,30.0,280.0,134.0,117.0,2516.0,213.0
RAY WAJDA,459.0,30.0,305.0,128.0,175.0,2314.0,90.0
JESSE HERNANDEZ,372.0,33.0,275.0,116.0,170.0,2303.0,117.0
GRANT JARZYNKA,407.0,33.0,315.0,116.0,163.0,2204.0,114.0
JAMES RILEY,420.0,33.0,275.0,123.0,226.0,2272.0,5.0
TONY LAUTERS,381.0,35.0,275.0,119.0,180.0,2236.0,48.0
MICHAEL D'ANGELO,477.0,28.0,297.0,123.0,191.0,2335.0,118.0
CHRISTOPHER  PAYE,417.0,26.0,281.0,129.0,211.0,2275.0,144.0
DANIEL LEMIEUX,326.0,32.0,282.0,101.0,171.0,2283.0,65.0
BRANDON AUGUST,427.0,34.0,275.0,118.0,166.0,2328.0,142.0
DARBY GRENGS,428.0,29.0,275.0,125.0,179.0,2330.0,183.0
GERARDO GONZALEZ,354.0,33.0,265.0,112.0,198.0,2229.0,92.0
RYAN BARBER,384.0,33.0,275.0,105.0,172.0,2241.0,190.0
DAVID ROCHON,361.0,30.0,285.0,121.0,172.0,2231.0,117.0
SHAWN  SWEENEY,475.0,31.0,275.0,125.0,174.0,2370.0,133.0
NICK  MAZEJKA,414.0,30.0,290.0,112.0,167.0,2364.0,142.0
MAX SHAWVER,529.0,32.0,315.0,112.0,180.0,2217.0,136.0
LOGAN JENKINS,499.0,31.0,290.0,85.0,194.0,2317.0,211.0
RYNE SULLIVAN,358.0,31.0,280.0,103.0,177.0,2278.0,112.0
CAMERON DOYLE,426.0,32.0,275.0,120.0,173.0,2357.0,90.0
ANDREW ASKIN,380.0,28.0,275.0,114.0,179.0,2307.0,159.0
WILLIAM LIPTAK,393.0,30.0,257.0,129.0,176.0,2301.0,134.0
JOE CATES,369.0,33.0,282.0,104.0,174.0,2216.0,93.0
WILLIAM WILBANKS-NOONE,409.0,34.0,275.0,120.0,176.0,2311.0,136.0
YOOSIK KIM,356.0,28.0,285.0,114.0,189.0,2163.0,107.0
SHAWN  CLARK,414.0,30.0,285.0,114.0,174.0,2186.0,188.0
DANY JACQUEZ,415.0,33.0,287.0,100.0,176.0,2252.0,93.0
SEAN HUTCHINSON,335.0,28.0,275.0,117.0,215.0,2086.0,67.0
COREY FREY,516.0,31.0,315.0,113.0,156.0,2252.0,158.0
DREW TEMPLE,418.0,30.0,286.0,117.0,171.0,2274.0,116.0
VICTOR SANCHEZ,379.0,30.0,265.0,147.0,168.0,2213.0,88.0
COLE EDWARDS,398.0,29.0,246.0,112.0,236.0,2242.0,159.0
JACOB  KIRBY ,384.0,27.0,267.0,140.0,127.0,2333.0,136.0
ZACHARY GREER,417.0,32.0,255.0,123.0,165.0,2278.0,163.0
GUSTAVO  ERRICO CAMACHO,389.0,27.0,276.0,118.0,184.0,2232.0,114.0
BRADY BERGAN,428.0,31.0,295.0,109.0,178.0,2221.0,88.0
ZACHARY FOWLER,369.0,28.0,275.0,116.0,176.0,2207.0,143.0
TONY  LA ROSA,374.0,31.0,305.0,99.0,171.0,2155.0,67.0
MIKE SHORT,465.0,28.0,317.0,116.0,160.0,2249.0,136.0
JOSEPH SOLITA,387.0,28.0,245.0,119.0,171.0,2332.0,165.0
ARRON  TATE,450.0,33.0,285.0,113.0,167.0,2296.0,91.0
JOSH COUSINS,447.0,34.0,257.0,124.0,164.0,2288.0,114.0
PASCAL MAFFEI-DROUIN,459.0,33.0,275.0,120.0,169.0,2277.0,91.0
MATT MILLER,425.0,31.0,277.0,120.0,160.0,2301.0,114.0
BRYAN  COLE,414.0,30.0,290.0,106.0,160.0,2264.0,154.0
ALEK JACKSON,575.0,35.0,280.0,150.0,160.0,2100.0,64.0
RYAN CRESPO,569.0,36.0,325.0,98.0,157.0,2138.0,65.0
ALY MAZHAR,400.0,25.0,280.0,120.0,164.0,2307.0,116.0
ANDRE  COLON,407.0,30.0,295.0,113.0,169.0,2190.0,71.0
JOEL CARDENAS,417.0,26.0,295.0,115.0,165.0,2293.0,94.0
WIL KMINEK,460.0,28.0,295.0,114.0,165.0,2334.0,88.0
STEVEN HAMILTON,389.0,20.0,305.0,113.0,170.0,2208.0,140.0
TIMOTHY JACOBSSON,500.0,28.0,295.0,112.0,160.0,2266.0,206.0
KRIS GONZALEZ,414.0,30.0,255.0,117.0,167.0,2224.0,186.0
CHRIS KELLY,438.0,25.0,275.0,117.0,170.0,2349.0,137.0
ZACH  NICHOLAS,391.0,26.0,277.5,115.0,184.0,2201.0,69.0
STEVEN CERENZIO,414.0,30.0,280.0,106.0,173.0,2222.0,90.0
LUKE THWAITES,420.0,29.0,242.5,125.0,170.0,2343.0,80.0
DIEGO FLORES ,425.0,29.0,277.0,97.0,178.0,2214.0,137.0
NATHAN BENAVIDES,425.0,31.0,280.0,105.0,178.0,2105.0,91.0
RESHEF  GOLD,390.0,26.0,286.65,106.0,162.0,2266.0,96.0
YUSUKE KOBAYASHI,491.0,28.0,258.0,130.0,175.0,2274.0,114.0
BRANDT  ZIMMERMAN ,474.0,31.0,265.0,111.0,177.0,2173.0,163.0
SONNY LITWILER,461.0,31.0,257.0,122.0,159.0,2322.0,94.0
DANIEL MARTIN,386.0,30.0,245.0,114.0,172.0,2212.0,116.0
ANTHONY MARTORANO,448.0,29.0,255.0,116.0,169.0,2316.0,115.0
BRADY CUMMINS ,384.0,26.0,225.0,139.0,180.0,2102.0,89.0
TYLER HARDESTY,471.0,26.0,280.0,114.0,188.0,2096.0,137.0
PATRICK LAMAR ,468.0,31.0,275.0,118.0,164.0,2248.0,88.0
AL EL KORDI-HUBBARD,417.0,27.0,255.0,119.0,174.0,2213.0,137.0
DIEGO CONTRERAS,485.0,27.0,295.0,93.0,153.0,2395.0,92.0
DANIEL  COURTRIGHT ,665.0,33.0,275.0,112.0,165.0,2218.0,139.0
MARCIO NARCISO,449.0,25.0,290.0,112.0,168.0,2294.0,90.0
IKAIKA PASCUA,394.0,26.0,275.0,106.0,169.0,2230.0,136.0
STEVEN RODRIGUEZ,362.0,30.0,255.0,106.0,172.0,2133.0,70.0
JOSH EWELL,418.0,26.0,300.0,102.0,169.0,2186.0,89.0
SAMUEL TRUE,395.0,27.0,276.5,113.0,152.0,2312.0,40.0
J.T. HUCKABAY,407.0,21.0,230.0,124.0,188.0,2241.0,109.0
LUCAS NICOLAS,365.0,27.0,270.6,90.0,167.0,2304.0,65.0
COY WATERS,403.0,26.0,278.0,104.0,171.0,2215.0,87.0
CHRISTIAN  POPE,583.0,27.0,280.0,126.0,116.0,2363.0,68.0
LUKE YODER,538.0,29.0,310.0,104.0,162.0,2175.0,91.0
LALO TORRES,429.0,28.0,265.0,100.0,174.0,2334.0,48.0
STEVEN GUERRERA,398.0,26.0,245.0,99.0,195.0,2208.0,134.0
AARON MEDINA,720.0,28.0,315.0,95.0,193.0,2094.0,53.0
KYLE PASTA,424.0,22.0,245.0,118.0,178.0,2183.0,154.0
GEOVANNY RAUL ABAD PEREZ,457.0,33.0,235.0,114.0,155.0,2245.0,95.0
DARRIN DIAZ,474.0,30.0,275.0,115.0,163.0,2149.0,112.0
RYAN HELGREN,457.0,25.0,275.0,121.0,164.0,2263.0,92.0
ROBERT GARCIA ,513.0,26.0,275.0,144.0,157.0,2242.0,71.0
STUART STARK,394.0,24.0,267.0,125.0,168.0,2191.0,32.0
DEVIN LARSEN,599.0,35.0,245.0,112.0,167.0,2246.0,85.0
ALAN MIRANDA,705.0,30.0,305.0,89.0,174.0,2125.0,85.0
FABRICE CHAVINIER,440.0,29.0,287.0,104.0,166.0,2119.0,67.0
MARIO JIMENEZ ,486.0,32.0,275.0,95.0,161.0,2213.0,92.0
DAVE  KING,518.0,30.0,275.0,105.0,151.0,2344.0,66.0
ALFREDO BAROCIO,457.0,30.0,275.0,99.0,165.0,2121.0,117.0
MICHAEL HUSAR,670.0,30.0,276.6,100.0,117.0,2372.0,88.0
ETHAN WASIL,414.0,27.0,255.0,99.0,164.0,2287.0,91.0
DANIEL HOLYCROSS,401.0,25.0,220.0,105.0,178.0,2222.0,110.0
LUCAS BORDEN,478.0,29.0,277.0,104.0,112.0,2298.0,80.0
DWIGHT  HOLLOWAY ,385.0,26.0,260.0,96.0,165.0,2221.0,91.0
MIKE DRAPER,411.0,26.0,267.0,95.0,151.0,2317.0,87.0
DEVIN MCMILLER,460.0,30.0,275.0,107.0,169.0,2090.0,64.0
SEAN GILLEN,467.0,25.0,235.0,120.0,162.0,2278.0,125.0
DANNY BASSETT,522.0,25.0,270.0,117.0,114.0,2292.0,141.0
MANU RAVO CORES ,447.0,27.0,253.0,112.0,170.0,2089.0,140.0
BRANDON PLOTT,441.0,30.0,255.0,106.0,154.0,2233.0,87.0
JOHN  SOUTULLO,417.0,29.0,268.0,102.0,119.0,2127.0,113.0
MATTHEW GREENFIELD,467.0,24.0,235.0,135.0,151.0,2214.0,114.0
NICHOLAS SHEEHAN,430.0,23.0,235.0,124.0,164.0,2261.0,68.0
NICK NAVARRO,515.0,24.0,280.0,113.0,160.0,2248.0,89.0
JIMM H MENESES,519.0,26.0,257.0,98.0,162.0,2339.0,92.0
KANNON MADDEN,481.0,28.0,285.0,98.0,159.0,2173.0,70.0
JACOB BOND,469.0,26.0,295.0,86.0,170.0,2085.0,63.0
AUSTIN GREGORY,508.0,28.0,235.0,117.0,107.0,2314.0,91.0
COOPER FREY,540.0,22.0,245.0,130.0,114.0,2309.0,108.0
MATT DOUGLAS,599.0,28.0,275.0,112.0,161.0,2215.0,93.0
JESSE FACER,708.0,26.0,300.0,98.0,156.0,2225.0,88.0
ANTHON BERRY ,490.0,28.0,285.0,100.0,150.0,2231.0,36.0
DAVID LASTRA,507.0,27.0,245.0,113.0,170.0,2244.0,72.0
BLAKE MUSICK,810.0,25.0,315.0,102.0,112.0,2191.0,86.0
VINCENT MUSCARELLA,441.0,22.0,245.0,112.0,168.0,2131.0,136.0
HAL ROCA,700.0,27.0,245.0,111.0,152.0,2329.0,115.0
NICK LUCIGNANO,408.0,24.0,231.0,105.0,157.0,2260.0,88.0
DARWIN  WILLIAMS,544.0,31.0,247.0,88.0,173.0,2159.0,83.0
JONATHAN TAUBER,661.0,22.0,265.0,102.0,164.0,2366.0,64.0
MARCUS BOTTENSEK,600.0,20.0,295.0,110.0,158.0,2253.0,40.0
MICHAEL VETRENO,479.0,23.0,245.0,117.0,172.0,2171.0,62.0
HARALD KIRN,653.0,30.0,265.0,95.0,94.0,2304.0,71.0
ADAM  WALKER,586.0,22.0,275.0,120.0,142.0,2249.0,72.0
CHRIS JACQUES,528.0,26.0,255.0,99.0,113.0,2335.0,88.0
WILLIE COPELAND,624.0,21.0,300.0,86.0,160.0,2255.0,56.0
JUSTIN WARE,460.0,26.0,245.0,115.0,144.0,2119.0,91.0
